"ser_time","unser_time","block_size","difference","method"
0.366,0.002,100,0,"serialize()"
0.36,0.00099999999999989,100,0,"RDS"
0.526,0.00300000000000011,100,0,"fst"
0.382,0,100,0,"qs"
0.373,0.00300000000000011,100,0,"RMVL"
0.0139999999999998,0.004,500,0,"serialize()"
0.15,0.02,500,0,"RDS"
0.00599999999999978,0.00700000000000012,500,0,"fst"
0.0209999999999999,0.00199999999999978,500,0,"qs"
0.004,0.004,500,0,"RMVL"
0.145,0.016,1000,0,"serialize()"
0.6,0.0779999999999998,1000,0,"RDS"
0.0150000000000001,0.012,1000,0,"fst"
0.0089999999999999,0.004,1000,0,"qs"
0.069,0.00300000000000011,1000,0,"RMVL"
1.495,0.366000000000001,5000,0,"serialize()"
10.334,1.311,5000,0,"RDS"
1.284,0.346,5000,0,"fst"
1.118,0.0899999999999999,5000,0,"qs"
1.056,0.230999999999998,5000,0,"RMVL"
6.393,1.389,10000,0,"serialize()"
37.774,5.17400000000001,10000,0,"RDS"
5.00700000000001,0.61999999999999,10000,0,"fst"
4.66,0.456000000000003,10000,0,"qs"
4.276,0.739999999999995,10000,0,"RMVL"
24.639,5.49100000000001,20000,0,"serialize()"
152.119,20.729,20000,0,"RDS"
20.053,2.23500000000001,20000,0,"fst"
18.197,1.892,20000,0,"qs"
17.397,2.95399999999995,20000,0,"RMVL"
58.93,13.492,30000,0,"serialize()"
342.639,46.9520000000001,30000,0,"RDS"
47.2090000000001,7.31799999999998,30000,0,"fst"
41.2189999999999,4.98400000000004,30000,0,"qs"
40.0160000000001,6.98800000000006,30000,0,"RMVL"
